"ID","countryGPTMode","country","countryPartial","countryCF","countryPartialF"
0,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
2,"Portugal",NA,"Portugal",NA,"Portugal"
4,"Indonesia",NA,"Indonesia",NA,"Indonesia"
7,"Canada",NA,"Canada",NA,"Canada"
8,"Norway",NA,"Norway",NA,"Norway"
13,"Sweden",NA,"Sweden",NA,"Sweden"
14,"Germany",NA,"Germany",NA,"Germany"
16,"Sweden",NA,"Sweden",NA,"Sweden"
17,"Estonia",NA,"Estonia",NA,"Estonia"
18,"Greece",NA,"Greece",NA,"Greece"
19,"China",NA,"China",NA,"China"
20,"Unknown",NA,"Unknown","China","China"
22,"China",NA,"China",NA,"China"
23,"China",NA,"China",NA,"China"
24,"Unknown","China","China",NA,"China"
25,"China",NA,"China",NA,"China"
26,"Pakistan",NA,"Pakistan",NA,"Pakistan"
27,"China",NA,"China",NA,"China"
28,"China",NA,"China",NA,"China"
29,"Philippines, United States",NA,"Philippines, United States",NA,"Philippines, United States"
30,"Chile",NA,"Chile",NA,"Chile"
31,"United States",NA,"United States",NA,"United States"
32,"United States",NA,"United States",NA,"United States"
33,"Nepal",NA,"Nepal",NA,"Nepal"
34,"United States",NA,"United States",NA,"United States"
35,"United States",NA,"United States",NA,"United States"
36,"Thailand",NA,"Thailand",NA,"Thailand"
37,"Canada",NA,"Canada",NA,"Canada"
39,"China",NA,"China",NA,"China"
42,"China",NA,"China",NA,"China"
43,"Unknown",NA,"Unknown","Iran","Iran"
44,"China",NA,"China",NA,"China"
45,"Pakistan",NA,"Pakistan",NA,"Pakistan"
46,"China",NA,"China",NA,"China"
47,"Malaysia",NA,"Malaysia",NA,"Malaysia"
48,"Pakistan",NA,"Pakistan",NA,"Pakistan"
49,"China",NA,"China",NA,"China"
50,"China",NA,"China",NA,"China"
52,"China",NA,"China",NA,"China"
54,"China",NA,"China",NA,"China"
55,"China",NA,"China",NA,"China"
56,"Belgium, Spain, United Kingdom, Sweden, Italy, Austria, Switzerland",NA,"Belgium, Spain, United Kingdom, Sweden, Italy, Austria, Switzerland",NA,"Belgium, Spain, United Kingdom, Sweden, Italy, Austria, Switzerland"
58,"Iran",NA,"Iran",NA,"Iran"
59,"Unknown",NA,"Unknown","Spain","Spain"
60,"Unknown","Serbia","Serbia",NA,"Serbia"
61,"China",NA,"China",NA,"China"
62,"Chile",NA,"Chile",NA,"Chile"
63,"Unknown","Austria, Belgium, Germany, Italy, Poland, Sweden, United Kingdom","Austria, Belgium, Germany, Italy, Poland, Sweden, United Kingdom",NA,"Austria, Belgium, Germany, Italy, Poland, Sweden, United Kingdom"
64,"Australia, Brazil, China, Ghana, India, Iran, Italy, Norway, South Africa, USA",NA,"Australia, Brazil, China, Ghana, India, Iran, Italy, Norway, South Africa, USA",NA,"Australia, Brazil, China, Ghana, India, Iran, Italy, Norway, South Africa, USA"
65,"India",NA,"India",NA,"India"
66,"Unknown","Portugal","Portugal",NA,"Portugal"
68,"Iran",NA,"Iran",NA,"Iran"
70,"Austria",NA,"Austria",NA,"Austria"
